Dataset identifier;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Publisher;Reference;Attributions;Number of records;Size of records in the dataset (in bytes);Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score;Visibility (domain or restricted);Published;Publishing properties
male-first-names-20020;False;Male first names 2002;<p>Male first names registered at the City of Brussels in 2002.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"male;first name;birth";Licence Ouverte (Etalab);en;;2015-11-03T09:37:44+01:00;2018-01-08T00:04:03+01:00;2023-01-31T19:12:39.071000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1268;16145;0;7729;165;0;0;3.5;domain;True;manual
pollumeter;False;Pollumeter;"<p>De Pollumeter van het Brussels Hoofdstedelijk Gewest
volgt de evolutie van de luchtkwaliteit. De globale index wordt berekend op
basis van metingen in alle meetpunten voor zuurstof (O3), stikstofdioxide
(NO2), zwaveldioxide (SO2) en fijne stofdeeltjes (PM10): <a href=""http://www.ibgebim.be/Pollumetre/dynamic_index.txt"">www.ibgebim.be/Pollumetre/dynamic_index.txt</a>.&nbsp;</p><p>Leefmilieu Brussel verzoekt om de data periodiek op te halen (om 35 na
het uur) en niet door elke keer te zoeken op een webpagina met de Pollumeter.</p>";Environnement, Propreté;"pollumeter;luchtkwaliteit;Brussels Hoofdstedelijk Gewest";contacteer Leefmilieu Brussel;nl;;2014-04-14T15:05:46+02:00;;2023-01-31T19:12:05.583000+01:00;Leefmilieu Brussel;http://www.ibgebim.be:8080/Pollumetre/Graph.action?lang=nl&langtype=2067;;0;0;0;5037;171;0;0;3.0;domain;True;manual
mannelijke-voornamen-2001;False;Mannelijke voornamen 2001;<p>Mannelijke voornamen geregistreerd bij de Stad Brussel in 2001.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"jongen;voornaam";Licence Ouverte (Etalab);nl;;2015-11-03T09:05:41+01:00;2018-01-08T00:11:17+01:00;2023-01-31T19:12:38.676000+01:00;Stad Brussel/Demografie;www.brussel.be/4840;;1283;16240;0;8947;139;0;0;3.7;domain;True;manual
gewestelijke-fietsroutes;False;Gewestelijke fietsroutes;"<p>Gewestelijke fietsroutes
worden aanbevolen voor fietsen op middellange en lange afstand door
verscheidene gemeenten. In het algemeen zijn deze routes lokale wegen, waar het
verkeer minder druk, langzamer en minder stresserend is dan op de hoofdwegen.</p>";Mobilité, Transports;fiet;contact Brussel Mobiliteit;nl;;2014-05-12T15:47:11+02:00;;2023-01-31T19:12:08.979000+01:00;Brussel Mobiliteit;http://www.mobielbrussel.irisnet.be/content/opendata/;;0;0;0;97561;272;0;0;10.9;domain;True;manual
prenoms-masculins-2000;False;Prénoms masculins 2000;<p>Prénoms masculins enregistrés auprès de la Ville de Bruxelles au cours de l'année 2000.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"prénom;garçon";;fr;;2015-11-03T10:42:28+01:00;2018-01-07T23:50:29+01:00;2023-01-31T19:12:38.917000+01:00;Ville de Bruxelles/Démographie;www.bruxelles.be/4840;;1184;15048;0;8818;162;0;0;3.7;domain;True;manual
twitter-followers;False;Twitter followers;"<p>
    Followers for Twitter accounts City of Brussels in French, Dutch or English.</p>";Internet, TIC;"Twitter;follower";Licence Ouverte (Etalab);en;;2016-03-15T11:24:36+01:00;2018-01-08T00:16:26+01:00;2023-01-31T19:12:11.743000+01:00;City of Brussels/Web Unit;http://www.brussels.be/5435;;54;1523;0;12460;179;0;0;4.3;domain;True;manual
female-first-names-2003;False;Female first names 2003;<p>Female first names registered at the City of Brussels in 2003.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"first name;female;girl";Licence Ouverte (Etalab);en;;2015-11-03T09:46:31+01:00;2018-01-07T23:55:29+01:00;2023-01-31T19:12:38.162000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1368;17501;0;7460;138;0;0;3.4;domain;True;manual
verkeersintensiteit;False;Verkeersintensiteit;<p>Verkeersintensiteit op verschillende delen van het gewestelijk wegennetwerk.</p>;Vervoer, Verplaatsingen;verkeer;;nl;;2014-04-03T16:21:44+02:00;2018-01-07T23:45:59+01:00;2023-01-31T19:12:09.460000+01:00;Bruxelles Mobilité;;;70;17605;0;21218;327;0;0;5.7;domain;True;manual
ereburgers0;False;Ereburgers;<p>Vooraanstaande personen waaraan de Stad Brussel de titel van ereburger heeft toegekend (met vermelding van de naam of pseudoniem, de functie, de datum van de toekenning van de onderscheiding).</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;;Licence Ouverte (Etalab);nl;;2014-10-23T11:46:49+02:00;;2023-01-31T19:12:39.605000+01:00;;http://www.brussel.be/7154;;0;0;0;147;3;0;0;0.5;domain;False;manual
facebookpagina-stad-brussel;False;Facebookpagina's Stad Brussel;"<p>
    Statistieken van de Facebookpagina's Stad Brussel (aantal 'likes') in het Frans, het Nederlands en het Engels.</p>";Internet, TIC,Administration, Gouvernement, Finances publiques, Citoyenneté;"Facebook;sociale netwerken";Licence Ouverte (Etalab);nl;;2016-03-15T11:41:09+01:00;2018-01-08T00:12:09+01:00;2023-01-31T19:12:12.236000+01:00;Stad Brussel/Cel Web;https://www.facebook.com/pages/Stad-Brussel/142505089121323;;54;1516;0;8709;189;0;0;3.7;domain;True;manual
female-first-names-2002;False;Female first names 2002;<p>Female first names registered at the City of Brussels in 2002.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"first name;female;girl";Licence Ouverte (Etalab);en;;2015-11-03T09:46:31+01:00;2018-01-08T00:07:01+01:00;2023-01-31T19:12:38.543000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1260;16352;0;8891;148;0;0;3.7;domain;True;manual
demandes-de-permis-denvironnement-delivres;False;Demandes de permis d'environnement délivrés;"<p>Les demandes de permis d'environnement délivrés par le département Urbanisme de la Ville de Bruxelles depuis 2010.
Il est à noter que les permis délivrés concernent souvent des demandes introduites au cours des années précédentes.&nbsp;</p><p>Les chiffres retenus ici concernent les permis délivrés résultant de demandes introduites au cours des 3 années précédentes.</p>";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"urbanisme;permis";Licence Ouverte (Etalab);fr;;2014-04-15T15:58:13+02:00;2018-01-07T23:59:35+01:00;2023-01-31T19:12:09.816000+01:00;Ville de Bruxelles/Urbanisme;;;10;260;0;10359;231;0;0;4.1;domain;True;manual
metro-extracts-brussels;False;Metro extracts Brussels;;;;;en;;2015-12-31T12:12:12+01:00;;2023-01-31T19:12:40.232000+01:00;;;;0;0;0;24;0;0;0;0.2;domain;False;manual
dataset-van-de-datasets;False;Dataset van de datasets;"<p>Dataset van de datasets van het Open Data platform van de
Stad Brussel.</p>";Internet, TIC;dataset;Licence Ouverte (Etalab);nl;;2014-05-09T13:04:43+02:00;;2023-01-31T19:12:12.450000+01:00;Stad Brussel/Cel Web;http://opendata.brussel.be;;0;0;0;5029;115;59;0;2.9;domain;True;manual
cleanliness-committees;False;Cleanliness Committees;<p>Information on the Cleanliness committees of the City of Brussels (name of the Cleanliness committee, name of the meeting point, address).</p>;Environnement, Propreté,Administration, Gouvernement, Finances publiques, Citoyenneté;"cleanliness;committee;citizen";Licence Ouverte (Etalab);en;;2016-03-14T11:14:07+01:00;2018-01-08T00:15:54+01:00;2023-01-31T19:12:41.293000+01:00;City of Brussels/Cleanliness;http://www.bruxelles.be/4020;;11;2169;0;12320;167;0;0;4.3;domain;True;manual
suiveurs-des-comptes-twitter;False;Suiveurs des comptes Twitter;"<p>
    Suiveurs (followers) des comptes Twitter Ville de Bruxelles en français, néerlandais et anglais.</p>";Internet, TIC;"Twitter;follower";Licence Ouverte (Etalab);fr;;2016-03-15T11:15:47+01:00;2018-01-08T00:03:15+01:00;2023-01-31T19:12:11.142000+01:00;Ville de Bruxelles/Cellule Web;http://www.bruxelles.be/5435;;54;1523;0;9765;169;0;0;3.9;domain;True;manual
prenoms-masculins-20150;False;Prenoms masculins 2015;<p>Prénoms masculins enregistrés auprès de la Ville de Bruxelles au cours de l'année 2015.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"prénom;masculin";Licence Ouverte (Etalab);fr;;2016-01-15T14:26:20+01:00;2018-01-07T23:53:26+01:00;2023-01-31T19:12:40.303000+01:00;Ville de Bruxelles/Démographie;;;1830;22964;1;12370;176;0;0;5.3;domain;True;manual
applications-for-a-planning-permit;False;Applications for a planning permit;"<p>Applications for a planning permit by the City of
Brussels by destination of the property and since 2003.&nbsp;</p>";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"planning;permit";Licence Ouverte (Etalab);en;;2014-04-16T10:50:51+02:00;2018-01-08T00:15:40+01:00;2023-01-31T19:12:11.265000+01:00;City of Brussels/Town Planning;http://www.brussels.be/4908;;11;429;0;10326;190;0;0;4.0;domain;True;manual
social-networks;False;Social networks;<p>Register (unofficial) of accounts and pages of the City of Brussels (City, departments, services, libraries, schools, other institutions, non-profit associations, actions, events) on social networks (Facebook, Twitter, Google+, LinkedIn, Pinterest, Flickr, YouTube).</p>;Internet, TIC;"social network;Facebook;Twitter;Google+;LinkedIn;Pinterest;Flickr;YouTube";Licence Ouverte (Etalab);en;;2016-01-15T12:32:01+01:00;2018-01-07T23:56:33+01:00;2023-01-31T19:12:39.821000+01:00;City of Brussels/Web Unit;www.brussels.be/6762;;45;5656;0;11913;241;0;0;4.3;domain;True;manual
ingediende-aanvragen-voor-milieuvergunningen;False;Ingediende aanvragen voor milieuvergunningen;"<p>Ingediende
aanvragen voor milieuvergunningen bij de Stad Brussel per bestemming van het
goed en sinds 2003.</p>";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"milieu;milieuv";Licence Ouverte (Etalab);nl;;2014-04-17T10:14:55+02:00;2018-01-08T00:15:45+01:00;2023-01-31T19:12:11.529000+01:00;Stad Brussel/Stedenbouw;;;10;234;0;8575;179;0;0;3.7;domain;True;manual
vrouweljke-voornamen-2015;False;Vrouweljke voornamen 2015;<p>Vrouwelijke voornamen geregistreerd bij de Stad Brussel in 2015.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;voornaam;Licence Ouverte (Etalab);nl;;2016-01-15T15:08:12+01:00;2018-01-07T23:54:54+01:00;2023-01-31T19:12:40.571000+01:00;Stad Brussel/Demografie;;;1903;24127;0;11709;168;0;0;4.2;domain;True;manual
public-hospitals;False;Public hospitals;<p>Public hospitals (members of the IRIS network) on the territory of the City of Brussels.</p>;Santé;"health;hospital";Licence Ouverte (Etalab);en;;2014-08-01T14:27:14+02:00;2018-01-08T00:08:06+01:00;2023-01-31T19:12:17.440000+01:00;City of Brussels/Web Unit;http://www.brussels.be/4243;;6;1257;0;318711;308;0;0;19.1;domain;True;manual
geographical-origin-belgian-municipalities-of-the-visits-to-the-website-of-the-0;False;Geographical origin (belgian municipalities) of the visits to the website of the City (2015);<p>Cities (municipalities) of origin of visitors to the website of the City of Brussels from Belgium, determined by their IP address. Source: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);en;;2016-03-18T13:46:16+01:00;2018-01-07T23:59:04+01:00;2023-01-31T19:12:42.152000+01:00;City of Brussels/Web Unit;;;453;7548;0;11408;155;0;0;4.1;domain;True;manual
polling-stations;False;Polling stations;"<p>Location of the polling stations on the territory of the
City of Brussels.</p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"vote;poll;election";Licence Ouverte (Etalab);en;;2014-05-19T12:22:03+02:00;2018-01-07T23:59:26+01:00;2023-01-31T19:12:13.480000+01:00;City of Brussels/Demography;;;99;18024;0;10334;178;0;0;4.0;domain;True;manual
herstellen-hergebruiken-recycleren-composteren0;False;Initiatieven voor duurzame ontwikkeling : Herstellen, hergebruiken, recycleren, composteren;"<p>De locatie van inzamelpunten (kleding, IT-materiaal, enz.); afvalverwerking (grofvuil, kga, enz.); compostlocaties, tweedehandswinkels en plaatsen voor herstellingen die zich op het grondgebied van de Stad Brussel bevinden.</p>";Duurzame ontwikkeling;"Kringloopwinkel;Afvalinzameling;Weggeefmarkt;Kurken;Plastic potten ;Container;Kledingcontainer;Proxy chimik;Compost;Tweedehands;Kleding;Herstelling ;Schoenmaker";Licence Ouverte (Etalab);nl;;2019-03-11T09:53:47+01:00;;2023-01-31T19:12:43.459000+01:00;Stad Brussel / Duurzame ontwikkeling;;;0;0;0;5187;4;0;0;2.4;domain;False;manual
regional-roads;False;Regional roads;"<p>Roads managed by the Brussels Capital Region. Some roads (streets, highways, avenues, boulevards, squares,...) are located on the territory of the City; other roads may be adjacent.</p>";Mobilité, Transports;;Licence Ouverte (Etalab);en;;2014-07-31T11:43:23+02:00;2018-01-08T00:17:09+01:00;2023-01-31T19:12:16.880000+01:00;Bruxelles Mobilité;http://www.bruxelles.irisnet.be/files-fr/mobilite/liste-des-voiries-regionales;;535;41769;0;15379;238;0;0;4.8;domain;True;manual
male-first-names-20150;False;Male first names 2015;<p>Male first names registered at the City of Brussels in 2015.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"male;first name";Licence Ouverte (Etalab);en;;2016-01-15T14:26:20+01:00;2018-01-07T23:59:47+01:00;2023-01-31T19:12:40.421000+01:00;City of Brussels/Demography;;;1830;22964;0;10978;191;0;0;4.1;domain;True;manual
maisons-de-repos-pour-personnes-agees;False;Maisons de repos pour personnes âgées;<p>Localisations et informations sur les maisons de repos (MR) et les maisons de repos et de soins (MRS) du Centre Public d'Action Sociale (CPAS de Bruxelles.</p>;Services, Social;"maison de repos;maison de repos et de soins;senior;CPAS";Licence Ouverte (Etalab);fr;;2014-09-01T13:20:37+02:00;2018-01-07T23:49:19+01:00;2023-01-31T19:12:17.655000+01:00;CPAS;http://www.bruxelles.be/5423;;5;929;0;71666;219;0;0;9.4;domain;True;manual
eten-en-drinken;False;Initiatieven voor duurzame ontwikkeling : Eten en drinken;<p>De locatie van de verschillende organisaties die duurzame voeding promoten (restaurants, markten, moestuinen, boerderijen, winkels, SAGAL’s, enz.) op het grondgebied van de Stad Brussel.</p>;Duurzame ontkwikkeling;"eten;drinken;café;STEDELIJKE LANDBOUW;HORECA;Stadsboerderij;slowfood;restaurant;BUURTWINKELS;Biowinkel;SAGAL;Markt;Moestuin;Kruidenwinkel";Licence Ouverte (Etalab);nl;;2019-03-11T09:26:18+01:00;;2023-01-31T19:12:43.318000+01:00;Stad Brussel / Duurzame ontwikkeling;;;0;0;0;4972;15;0;0;2.5;domain;False;manual
homes-of-the-property-management-agency;True;Real estate of the Property Management Agency;<p>Location and distribution by quarter of the homes of the Property Management Agency with the number of units per home.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;Régie foncière;Licence Ouverte (Etalab);en;;2020-08-15T12:01:07+02:00;2020-08-15T12:01:07+02:00;2023-01-31T19:12:18.052000+01:00;Régie foncière - Property Management Agency;;;766;180119;0;194372;225;0;0;15.0;domain;True;federated
zich-ontspannen;False;Initiatieven voor duurzame ontwikkeling : Zich ontspannen;<p>De locatie van de jeugdcentra, jeugdhuizen en het informatiecentrum voor jongeren op het grondgebied van de Stad Brussel.</p>;Duurzame ontwikkeling;"Jeugdcentra;Jeugdhuizen ;Informatiecentrum ;jongeren";Licence Ouverte (Etalab);nl;;2019-03-11T10:28:18+01:00;;2023-01-31T19:12:43.473000+01:00;Stad Brussel / Duurzame ontwikkeling;;;0;0;0;3693;7;0;0;2.1;domain;False;manual
aankledingen-van-manneken-pis;False;Aankledingen van Manneken-Pis;<p>Dagen en uren van de aankledingen van Manneken-Pis (met de naam van het kostuum, de referentie en de context van de aankleding).</p>;Culture, Patrimoine, Folklore;"Manneken-Pis;folklore";Licence Ouverte (Etalab);nl;;2017-03-21T18:02:24+01:00;2018-01-08T00:14:32+01:00;2023-01-31T19:12:20.231000+01:00;Stad Brussel/Cultuur;http://www.brussel.be/4328;;10;1634;0;8941;255;0;0;3.9;domain;True;manual
reservations-dans-les-bibliotheques-francophones-en-2015;False;Réservations dans les bibliothèques francophones en 2015;<p>Le classement des réservations de documents dans les bibliothèques francophones de la Ville de Bruxelles en 2015.</p>;Culture, Patrimoine, Folklore;"bibliothèque;livre; lecture publique";Licence Ouverte (Etalab);fr;;2016-03-16T12:51:54+01:00;2018-01-08T00:02:37+01:00;2023-01-31T19:12:41.805000+01:00;Ville de Bruxelles/Instruction publique;http://www.bruxelles.be/4649;;175;26344;0;10216;158;0;0;3.9;domain;True;manual
woningen-van-de-grondregie;True;Vastgoed van de Grondregie;<p>Locatie en verdeling per wijk van de woningen van de Grondregie met het aantal wooneenheden per woning.</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;;Licence Ouverte (Etalab);nl;;2020-08-15T12:01:07+02:00;2020-08-15T12:01:07+02:00;2023-01-31T19:12:17.975000+01:00;Grondregie;;;766;180119;0;234631;255;0;0;16.5;domain;True;federated
covid-19-pandemic-belgium-hospitalisations-by-date-and-province;True;COVID-19 Pandemic - Belgium - Hospitalisations by date and province;"<p>This dataset is based on the ""Dataset of hospitalisations by date and provinces"" published by Sciensano beginning on March 31st, 2020.</p><p>We added geographical points to display data on a map, based on the provinces name.<br/></p>";Santé;"covid19;pandemic;pandémie;Belgium;Belgique ;hospital;hospitalisation;coronavirus";Custom License (see reference link);en;Europe/Brussels;2020-04-01T16:21:22+02:00;2023-01-27T11:55:11+01:00;2023-01-31T19:12:45.135000+01:00;QUOILIN, Sophie, LEROY Mathias, DUPONT Yves, Epistat, Covid19, Sciensano;https://epistat.wiv-isp.be/covid/;QUOILIN, Sophie, LEROY Mathias, DUPONT Yves, Epistat, Covid19, Sciensano;11517;1378110;0;75384;259;130;0;9.7;domain;True;federated
geographical-origin-of-the-visits-to-the-website-of-the-city-of-brussels-2012;False;Geographical origin of the visits to the website of the City of Brussels (2012);<p>Countries and territories of the visitors of the website of the City of Brussels (2012), determined by the geographical area of their IP address. Source: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);en;;2014-10-23T12:48:06+02:00;2018-01-08T00:08:59+01:00;2023-01-31T19:12:23.065000+01:00;City of Brussels/Web Unit;;;215;3648;0;9026;141;0;0;3.7;domain;True;manual
statistiques-demographiques-copie;False;Statistiques démographiques – copie;<p>Statistiques relatives aux naissances, mariages, divorces et séparations, décès à la Ville de Bruxelles</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"naissance;mariage;divorce;séparation;décès";Licence Ouverte (Etalab);fr;;2019-08-05T11:28:39+02:00;;2023-01-31T19:12:43.878000+01:00;Ville de Bruxelles/Démographie;http://www.bruxelles.be/4826;;0;0;0;6;0;0;0;0.1;domain;False;manual
consultations-pour-enfants-de-lone;False;Consultations pour enfants de l'ONE;<p>Localisation des consultations pour enfants (0-6 ans) de l'ONE (Office de la Naissance et de l'Enfance - francophone) sur le territoire de la Ville de Bruxelles.</p>;Santé;"enfant;santé";Licence Ouverte (Etalab);fr;;2014-09-18T11:49:30+02:00;2018-01-08T00:17:33+01:00;2023-01-31T19:12:19.880000+01:00;Office de la Naissance et de l'Enfance;http://www.bruxelles.be/5662;;9;1292;0;57577;215;0;0;8.5;domain;True;manual
marches-publics-de-la-ville-de-bruxelles-2019;False;Inventaire des marchés publics 2019;"<p>Marchés publics (avec publicité) attribués par la Ville de Bruxelles en 2019</p><p><br/></p><p><span style=""font-size: 12.495px;"">art 7, § 1 Ordonnance Transparence - Ordonnantie Transparantie 14/12/2017 - art. 6§1,4°  Ordonnance Publicité - Ordonnantie Openbaarheid 16/05/2019</span></p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"marché public;finances;achats";Licence Ouverte (Etalab);fr;;2021-02-26T16:24:29+01:00;2021-02-26T16:27:40+01:00;2023-01-31T19:12:45.676000+01:00;Ville de Bruxelles;;;419;294821;0;7645;48;0;0;3.2;domain;True;manual
uitleningen-en-raadplegingen-in-de-nederlandstalige-bibliotheken;False;​Uitleningen en raadplegingen in de Nederlandstalige bibliotheken;<p>Het aantal uitleningen en raadplegingen in de Nederlandstalige bibliotheken van de Stad Brussel (Laken, Neder-Over-Heembeek en Haren).</p>;Culture, Patrimoine, Folklore;bibliotheek;Licence Ouverte (Etalab);nl;;2014-09-15T11:06:06+02:00;2018-01-08T00:12:26+01:00;2023-01-31T19:12:19.770000+01:00;Stad Brussel/Openbaar onderwijs;;;4;126;0;9689;179;0;0;3.9;domain;True;manual
geografische-oorsprong-van-de-bezoeken-aan-de-website-van-de-stad-2015;False;Geografische oorsprong van de bezoeken aan de website van de Stad (2015);<p>Landen en grondgebieden van de bezoekers van de website van de Stad Brussel (2015) bepaald door de geografische zone van hun IP-adres. Bron: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);nl;;2016-03-18T14:07:56+01:00;2018-01-08T00:17:01+01:00;2023-01-31T19:12:42.321000+01:00;Stad Brussel/Cel Web;;;224;4316;0;8177;148;0;0;3.6;domain;True;manual
geografische-oorsprong-van-de-bezoeken-aan-de-website-van-de-stad-2011;False;Geografische oorsprong van de bezoeken aan de website van de Stad (2011);<p>Landen en grondgebieden van de bezoekers van de website van de Stad Brussel (2011) bepaald door de geografische zone van hun IP-adres. Bron: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);nl;;2014-10-23T12:48:06+02:00;2018-01-08T00:16:49+01:00;2023-01-31T19:12:23.167000+01:00;Stad Brussel/Cel Web;;;214;3606;0;7080;143;0;0;3.4;domain;True;manual
marches-publics-overheidsopdrachten-2021;False;Marché publics 2022;"<p style=""font-family: sans-serif; color: rgb(86, 86, 86);""><span style=""font-size: 12.495px;"">Marchés publics (avec publicité) attribués par la Ville de Bruxelles en 2022.</span></p><p style=""font-family: sans-serif; color: rgb(86, 86, 86);""><span style=""font-size: 12.495px;"">art 7, § 1 Ordonnance Transparence - Ordonnantie Transparantie 14/12/2017 - art. 6§1,4°  Ordonnance Publicité - Ordonnantie Openbaarheid 16/05/2019</span><br/></p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"marché public;achats;finances";Open Data Ville de Bruxelles;fr;Europe/Brussels;2023-03-24T17:35:30+01:00;2023-03-24T17:51:12+01:00;2023-03-24T17:51:12.165000+01:00;Ville de Bruxelles/Finances;;;1612;1041896;0;302;9;0;0;0.7;domain;True;manual
honorary-citizens;False;Honorary citizens;<p>Persons to whom the City of Brussels has awarded the title of honorary citizen (indicating the date of the presentation of the distinction).</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;;Licence Ouverte (Etalab);en;;2014-10-23T11:46:49+02:00;;2023-01-31T19:12:22.389000+01:00;City of Brussels/Protocol;http://www.brussels.be/7154;;0;0;0;602;3;0;0;0.9;domain;False;manual
fietsvelo-fietspaden-in-park-bandes-cyclables-dans-les-parcs;False;Fiets/Vélo: fietszone in park / zones cyclables dans les parcs;;;;;fr;;2018-05-18T17:56:42+02:00;2018-06-14T18:13:09+02:00;2023-01-31T19:12:42.863000+01:00;;;;23;12409;0;16433;189;0;0;4.9;domain;True;manual
geographical-origin-of-the-visits-to-the-website-of-the-city-of-brussels-2011;False;Geographical origin of the visits to the website of the City of Brussels (2011);<p>Countries and territories of the visitors of the website of the City of Brussels (2011), determined by the geographical area of their IP address. Source: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);en;;2014-10-23T12:48:06+02:00;2018-01-08T00:09:05+01:00;2023-01-31T19:12:23.240000+01:00;City of Brussels/Web Unit;;;214;3606;0;9183;149;0;0;3.7;domain;True;manual
gemeenteraad-live;False;Gemeenteraad Live;<p>De livestream van de Gemeenteraad van de Stad Brussel (ook live op de homepage van brussel.be).</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"Gemeenteraad;Livestream";Voir producteur;nl;;2019-07-02T12:03:51+02:00;2019-07-02T12:11:41+02:00;2023-01-31T19:12:43.770000+01:00;Ville de Bruxelles;https://www.brussel.be/gemeenteraad-live;;1;67;0;8337;39;0;0;3.3;domain;True;manual
origine-geographique-des-visites-du-site-web-de-la-ville-2009;False;Origine géographique des visites du site web de la Ville (2009);<p>Pays et territoires des visiteurs du  site web de la Ville de Bruxelles (2009) déterminés par la zone géographique associée à leur adresse IP. Source: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);fr;;2014-10-23T12:48:06+02:00;2018-01-08T00:15:48+01:00;2023-01-31T19:12:23.835000+01:00;Ville de Bruxelles/Cellule Web;;;192;3427;0;7872;149;0;0;3.5;domain;True;manual
subsidies-granted-in-2019;False;Subsidies granted in 2019;<p>Subsidies granted by the City of Brussels in 2019</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"grants;subsides";Licence Ouverte (Etalab);fr;;2020-02-11T10:16:28+01:00;2020-02-11T10:17:43+01:00;2023-01-31T19:12:44.989000+01:00;City of Brussels/Finances;;;1261;359710;0;10258;48;0;0;3.6;domain;True;manual
bezochte-webpaginas-van-de-stad-per-titel-in-2013;False;Bezochte webpagina's van de Stad (per titel) in 2013;<p>Bezoekersstatistieken van de pagina's van de website van de Stad Brussel met de titel van de pagina, het aantal bekeken pagina's, het aantal unieke bezoeken, de gemiddelde tijd besteed aan de pagina. Bron: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);nl;;2014-10-29T16:10:41+01:00;2018-01-07T23:48:08+01:00;2023-01-31T19:12:24.138000+01:00;Stad Brussel/Cel Web;;;73;2022;0;7995;157;0;0;3.6;domain;True;manual
ppas;False;PPAS;<p>Plans particuliers d'affectation du sol (PPAS) de la Ville de Bruxelles</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"PPAS;Urbanisme";Licence Ouverte (Etalab);fr;;2021-06-15T12:01:35+02:00;2021-06-15T12:01:35+02:00;2023-04-15T12:00:15.869000+02:00;Ville de Bruxelles/Urbanisme;;;64;96445;1;535907;298;0;0;25.5;domain;True;scheduled
pages-du-site-web-de-la-ville-visitees-en-2013;False;Pages du site web (par URL) de la Ville visitées en 2013;"<p>Statistiques de fréquentation des pages du site web de la Ville de Bruxelles avec l'adresse de la page (suivant <a href=""http://www.bruxelles.be"" target=""_blank"">www.bruxelles.be</a>, le nombre de pages vues, le nombre de consultations uniques, le temps moyen passé sur la page. Source: Google Analytics.</p><p>Chaque page du site web de la Ville de Bruxelles est identifiée par 4 chiffres figurant dans son adresse. Une recherche sur ces 4 chiffres permet d'obtenir les statistiques relatives à la page considérée.</p>";Internet, TIC;"site web;site Internet";Licence Ouverte (Etalab);fr;;2014-10-29T16:10:41+01:00;2018-01-07T23:50:07+01:00;2023-01-31T19:12:23.907000+01:00;Ville de Bruxelles/Cellule Web;;;25000;2068314;0;9417;162;0;0;3.8;domain;True;manual
bxl_fontaines;False;Fontaines d'eau potable;"<p>Fontaines d'eau potable sur le territoire de la Ville de Bruxelles recensées par Infirmiers de Rue ASBL.</p><p><span style=""font-size: 12.495px;"">Si vous souhaitez utiliser les descriptions et les photos concernant les fontaines d'eau potable, veuillez prendre contact avec l'asbl Infirmiers de Rue (info@idr-sv.org) afin d'obtenir une autorisation.</span><br/></p><p><br/></p>";eau,Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement,Services, Social;"fontaine;eau";Voir producteur;fr;;2023-04-13T09:39:36+02:00;2023-04-13T09:39:36+02:00;2023-04-16T23:00:02.657000+02:00;Infirmiers de Rue ASBL;http://goo.gl/maps/RvmqN;;73;51291;0;176578;539;0;275;14.8;domain;True;scheduled
centres-de-jeunes-de-bravvo;False;Centres de jeunes de Bravvo;<p>Localisation des centres de jeunes du réseau géré par Bravvo et s'adressant aux 12-18 ans.</p>;Services, Social;"Bravvo;jeune;centre de jeunes";Licence Ouverte (Etalab);fr;;2015-03-24T14:43:47+01:00;2018-01-08T00:05:23+01:00;2023-01-31T19:12:24.264000+01:00;Bravvo;http://www.bruxelles.be/4065;;5;1002;0;46913;186;0;0;7.7;domain;True;manual
