Ville de Bruxelles - Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation - réf CSC);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure - ref bestek);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;Column 15;Column 16;Column 17;Column 18;Column 19;Column 20;Column 21;Column 22;Column 23;Column 24;Column 25;Column 26;Column 27;Column 28;Column 29;Column 30;Column 31;Column 32;Column 33;Column 34;Column 35;Column 36;Column 37;Column 38;Column 39;Column 40;Column 41;Column 42;Column 43;Column 44;Column 45;Column 46;Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61;Column 62;Column 63;Column 64;Column 65;Column 66;Column 67;Column 68;Column 69;Column 70;Column 71;Column 72;Column 73;Column 74;Column 75;Column 76;Column 77;Column 78;Column 79;Column 80
Instruction publique / Openbare onderwijs;Services - 21/47480 - 7000812406 - WF2430597 - Réparation NAP60-7;Diensten - 21/47480 - 7000812406 - WF2430597 - Herstelling NAP60-7;2021-10-11;Some Products;10.988,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;"Services - 21/52451 - 7000812406 - WF2436117 - Campagne publicitaire début 2022 (exclusivité en matière d'affichage au sein du réseau ""métro tram bus"" de la STIB)";"Diensten - 21/52451 - 7000812406 - WF2436117 - Campagne publicitaire début 2022 (exclusivité en matière d'affichage au sein du réseau ""métro tram bus"" de la STIB)";2021-11-25;JC DECAUX STREET FURNITURE BELGIUM SA;50.773,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/47731 - 7000812402 - WF2431696 - Tropismes.- Régularisation de factures impayées d'années antérieur;Leveringen - 21/47731 - 7000812402 - WF2431696 - Tropismes.- Regularisatie onbetaalde facturen van vorige jaren;2021-11-25;Collectif (Tropismes, …);14.035,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/55026 - 7670812317 - WF2439399 - Formation ludopédagogie;Diensten - 21/55026 - 7670812317 - WF2439399 - Formation ludopédagogie;2021-09-12;Knowledge Management Intelligences Multiples ASBL;21.175,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/53001 - 7000812412 - WF2437254 - Réparation NAP60-8;Diensten - 21/53001 - 7000812412 - WF2437254 - Herstelling NAP60-8;2021-09-12;TSN SPRL;78,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/54685 - 7310812317 - WF2438980 - Formation cyberhelp;Diensten - 21/54685 - 7310812317 - WF2438980 - Formation cyberhelp;2021-12-23;Humbeeck Bruno;900,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/59596 - 7000812204 - WF2444819 - REMB PROJET 2017 EMLE;Diensten - 21/59596 - 7000812204 - WF2444819 - REMB PROJET 2017 EMLE;2022-01-13;Fredini - Veracx fréderic;1.200,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41888 - 7350812204 - WF2424389 - Voordrachtgevers;Diensten - 21/41888 - 7350812204 - WF2424389 - Voordrachtgevers;2031-07-10;Groep intro;14.445,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/55616 - 7410812402 - WF2440376 - Livres et abonnements;Leveringen - 21/55616 - 7410812402 - WF2440376 - Boeken en abonnementen;;Collectif (Tropismes, …);7.440,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/47917 - 7000812317 - WF2431299 - Opleiding voor hulpopvoeders;Diensten - 21/47917 - 7000812317 - WF2431299 - Opleiding voor hulpopvoeders;;Eekhout Academy;2.300,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - Reine_Palais-Outre-Ponts - construction de 5 logements - essais de sol - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a)  & 92) - marché public de faible montant;Dienst - Koninginnelaan - Paleizenstraat over de Bruggen - bouwen van 5 woningen - bodemonderzoek - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a)  & 92) - Overheidsopdracht van beperkte waarde;2021-07-15;DIEPSONDERINGEN FUNDERINGSADVIES VERBEKE - ‘t Lindeke 13 à 8880 Sint-Eloois-Winkel;6.630,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - Site Rempart des Moines -études préliminaires - essais de sol - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a);Dienst - Site Papenvest - Voorafgaande studies - grondsonderingen - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a);2021-01-28;BNS, Lenclos 72C à 6740 Etalle;23.697,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - formation Marché Public - Valorisation Patrimoine - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a)  & 92) - marché public de faible montant;Dienst - Vorming Overheidsopdracht - Valorisatie Patrimonium - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a)  & 92) - Overheidsopdracht van beperkte waarde;2021-03-25;VOF CARU SNC- Rudi CLAEYS - Rogierlaan 9/4 - 8400 Oostende;847,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - Porte de Ninove -Logements -MASTERPLAN - Désignation de l'équipe pluridisciplinaire - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a);Dienst - Ninoofsepoort - Woningen - MASTERPLAN - Aanduiding van het pluridisciplinair team - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a);2021-04-22;"GRUE + BEL architecten + Ma-geo, 89 rue Gabriel Husson à 93230
Romainville - France";93.360,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Travaux - Max 110 -114 _ Réaménagement des vitrines et de l'entrée des logements - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a);Werken - Max 110-114 - Inrichting van de handelsramen en de ingang van de woningen - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a);2021-04-02;"Coopérative de Construction
AUTREMENT, rue Augustin Delporte 58 à 1050 Bruxelles";133.802,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Travaux - Fusain - Raccordement aux réseau de télédistribution;Werken - Pappenhout - Aansluiting netwerk;2021-07-16;TELENET bv, Liersesteenweg 4 te 2800 Mechelen;1.476,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Travaux - Cirque Royal - Travaux de réhabilitation des Ecuries Electricité Salle & Scène;Werken - Koningklijk Circus - Goedkeuring van de aanduiding van de opdracht elektriciteit (Ecuries);2021-09-12;INYTIUM SA, rue de la Maitrise 2 à 1400 Nivelles;213.285,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ayant pour but ""Rénovation complète de l'appartement 1.1 sis rue Nicolay 10 à 1000 Bruxelles, conclu par procédure négociée sans publication préalable (PNSPP) en application de l'article 92 de la Loi du 17/06/2016 - Bon de commande DOS/21/10181/15 - E.G. 2103081";"Overheidsopdracht voor werken met als doel "" Volledige renovatie van het appartement 1.1 gelegen Nicolaystraat te 1000 Brussel, aanbesteed via een procedure met lage bedragen (OOZVP) overeenkomstig artikel 92 van de wet van 17/06/2016 - Bestelbon DOS/21/10181/15 - E.G. 2103081";2021-11-05;CONSTRUCT TOP                                   Rue Auguste Van Zande 81                 1080 BRUXELLES;11.588,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ayant pour but ""Rénovation complète de l'appartement 1.2 sis rue Saint-Christophe 26 à 1000 Bruxelles, conclu par procédure de faible montant en application de l'article 92 de la Loi du 17/06/2016 - Bon de commande DOS/21/9929/12 - E.G. 2100669";"Overheidsopdracht voor werken met als doel "" Volledige renovatie van het appartement 1.2 gelegen Sint-Kristoffelsstraat 26 te 1000 Brussel, aanbesteed door een procedure met lage bedragen overeenkomstig artikel 92 van de wet van 17/06/2016 - Bestelbon DOS/21/9929/12 - E.G. 2100669";2021-01-19;CONSTRUCT TOP                                   Rue Auguste Van Zande 81                 1080 BRUXELLES;26.085,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de fournitures ayant pour but  ""Livraison de fournitures diverses"" conclu par procédure négociée sans publication préalable en application de la loi du 15 juin 2006 - article 26, §1, 1° a - Bon de commande DIV/21/10008/03";"Overheidsopdracht voor leveringen met als doel ""Levering van diverse goederen"" aanbesteed via onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van de wet van 15 juni 2006 - artikel 26, §1, 1° a - Bestelbon DIV/21/10008/03";2021-02-15;CLABOTS BRUXELLES                           Quai des Usines 5-7                                       1000 Bruxelles;3.779,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de fournitures ayant pour but  "" Founiture  de quincaillerie"" conclu par procédure négocié sans publication préalable en application de la loi du 15 juin 2006 - article 24 et l'article 37 - Bon de commande DIV/21/10134/03";"Overheidsopdracht voor leveringen met als doel ""Levering van ijzerwaren"", aanbesteed via onderhandelingsprocedure zonder voorafgaandelijk bekendmaking in toepassing van de wet van 15 juni 2006 - artikelen 24 en 37 - Bestelbon DIV/21/10134/03";2021-03-05;GROVEN + NV                  Schoonmansveld 50                             2870 Puurs;6.928,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de services ayant pour but  ""visite de contrôle"" conclu par procédure négociée sans publication préalable"" en application de la loi du 15 juin 2006 - article 26, §1, 1° a - Bon de commande DIV/21/10114/04";"Overheidsopdracht voor diensten met als doel "" inspectiebezoek "" aanbesteed via onderhandelingsprocedure zonder voorafgaandelijke bekendmaking"" in toepassing van de wet van 15 juni 2006 - artikel 26, §1, 1° a - bestelbon - Bestelbon DIV/21/10114/04";2021-04-19;SECURITAS NV                                                       Font-Saint-Landry 3                             1120 Bruxelles;605,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;« Marché public de services ayant pour but «étude de stabilité» rue Pletinckx 4 à 1000 Bruxelles, conclu par procédure de faible montant (PNSPP) en application de l'article 92 de la Loi du 17/06/2016 - Bon de commande DIV/21/10258/07;"Overheidsopdracht voor diensten met als doel ""stabiliteitstudie"", Pletinckxstraat 4 te 1000 Brussel, aanbesteed door een procedure met lage bedragen (OOZVP) overeenkomstig artikel 92 - Bestelbon DIV/21/10258/07";2021-09-08;Origin Architecture & Engineering                                                   Rue des Chartreux 17                                1000 Bruxelles;847,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ayant pour but ""159 Interventions pour débouchages et petits travaux sanitaire en urgence dans divers biens du patrimoine de la Régie Foncière », conclu par procédure de faible montant (PNSPP) en application de l'article 92 de la Loi du 17/06/2016";"Overheidsopdracht voor werken met als doel ""159 Interventies voor dringende ontstoppingen en kleine sanitaireherstellingen in verschillende panden van het patrimonium van de Grondregie, aanbesteed via een procedure met lage bedragen (OOZVP) overeenkomstig artikel 92 van de wet van 17/06/2016";2021-11-30;AQUA-DEBOUCHAGE                                Rue du Palais Outre-Pont 383            1020 Bruxelles;40.479,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ayant pour but ""Placement et réparation de stores et paresoleil dans divers appartements de la Régie foncère (5 interventions)», conclu par procédure de faible montant (PNSPP) en application de l'article 92 de la Loi du 17/06/2016.";"Overheidsopdracht voor werken met als doel "" plaatsing en herstelling van rolgordijnen en zonnewering in verschillende appartementen van de Grondregie (5 interventies)"", afgesloten door een procedure met lage bedragen (OOZVP) overeenkomstig artikel 92 van de wet van 17/06/2016.";2021-12-07;F.I.M. DECO                                  Koekelberglaan 36                                 1082 Brussel;2.180,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux  ayant pour but "" Mise en conformité électrique des communs dans divers bâtiments de la Régie foncière (7 interventions)"", conclu par procédure négociée sans publication préalable (PNSPP) en application de l'article 92 de la Loi du 17/06/2016 - Bon de commande 20/9804/29";"Overheidsopdracht voor werken met als doel ""Electrische keuring van de gemeenschappelijke gedeelten in verschillende gebouwen van de Grondregie (7 interventies)"", aanbesteed via een onderhandelingsprocedure zonder voorafgaande bekendmaking,  overeenkomstig artikel 92 van de wet van 17/06/2016 - Bestelbon 20/9804/29";2021-12-08;RAYONS                                                     Rue Mommaerts 39                              1080 Bruxelles;24.335,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux  ayant pour but ""Réparation infiltration dans la toiture plate rue du Wimpelberg 153 à 1120 Bruxelles, conclu par procédure négociée sans publication préalable (PNSPP) en application de l'article 92 de la Loi du 17/06/2016 - Bon de commande 21/10199/28";"Overheidsopdracht voor werken met als doel ""Herstellen van de infiltratie van het platte dak Wimpelbergstraat 153 te 1120 Brussel, aanbesteed via een onderhandelingsprocedure zonder voorafgaandelijke bekendmaking (OOZVP) overeenkomstig artikel 92 van de wet van 17/06/2016  - Bestelbon 21/10199/28";2021-06-28;REPARTOIT VOLTELEC                           Rue de Lombartzyde 154-156             1120 Bruxelles;3.160,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ayant pour but ""Remplacement électroménager et adaptation cuisine (6 intrventions) », conclu par procédure de faible montant en application de l'article 92 de la Loi du 17/06/2016";"Overheidsopdracht voor werken met het oog op ""Vervanging van huishoudelijke apparaten en aanpassing keuken (6 interventies) "", gesloten volgens de procedure van laag bedrag in toepassing van artikel 92 van de wet van 17/06/2016 -";2021-04-29;TRISI CUISINEX                                       Rue de Laeken 139                                        1000 Bruxelles;6.051,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ayant pour but ""Enlèvement du câblage à la façade avant et création d'une dérivation  rue de Verdun 494 à 1130 Bruxelles », conclu par procédure de faible montant en application de l'article 92 de la Loi du 17/06/2016 - Bon de commande 21/9989/21";"Overheidsopdracht voor werken met het oog op ""Verwijdering van bedrading aan de voorgevel en aanleg van een aftakking Verdunstraat 494 te 1130 Brussel"", gesloten volgens de procedure van laag bedrag in toepassing van artikel 92 van de wet van 17/06/2016 - Bestelbon 21/9989/21";2021-02-17;UNIT-T                         Schaliënhoevedreef 20T                     2800 MECHELEN;775,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ayant pour but ""Nettoyage après incendie dans divers immeubles de la Régie foncière (6 interventions)  "", conclu par procédure de faible montant en application de l'article 92 de la Loi du 17/06/2016";"Overheidsopdracht voor werken met het oog op ""reiniging na brand"" in verschillende gebouwen van de Grondregie (6 interventies)"", gesloten volgens de procedure van laag bedrag in toepassing van artikel 92 van de wet van 17/06/2016 -";2021-06-23;XL GROUP DAMAGE CONTROL      Avenue Gustave Demey 47                  1160 Bruxelles;10.330,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Culture, Jeunesse, Loisirs, Sports / Cultuur, Jeugd, Ontspanning, Sport;Marché public pour la fourniture de consommables techniques 'métaux', conclu selon la procédure pour marchés de faible montant, référence du cahier des charges : CDA/012206/JCV;Overheidsopdracht voor de levering van technische benodigheden 'metalen', gesloten volgens de procedure van de opdracht met geringe waarde, referentie van het bestek:  CDA/012206/JCV;2021-10-11;ACIERS GROSJEAN SA;1.105,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Culture, Jeunesse, Loisirs, Sports / Cultuur, Jeugd, Ontspanning, Sport;Marché public de services ayant pour but l'accompagnement, pendant 48 mois, dans l'élaboration d'un programme muséographique pour le futur parcours permanent du Musée de la Ville de Bruxelles à la Maison du Roi (CDA/011826/DDR);Overheidsopdracht voor dienstverlening met het oog op de ondersteuning, gedurende een periode van 48 maanden, bij de ontwikkeling van een museografisch programma voor de toekomstige permanente tentoonstelling van het Museum van de Stad Brussel in het Broodhuis (CDA/011826/DDR);2021-06-05;Micro-entreprise Laura Gaudenzi;159.720,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Animations Commerciale : Travaux : Installation d'une tourelle d'extraction en rapport avec le projet fritkot;Cel Commerciële Animatie : Werken : Installatie van een afzuigtoren  in verband met het frietkot-project;2021-08-11;ELECTRO-SAB;1.788,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Animations Commerciale : Fournitures :  
Fourniture d'électricité et gaz - engagement fait sur demande de la cellule patrimoine public en rapport avec le projet frietkot";"Cel Commerciële Animatie : Leveringen : 
Levering van elektriciteit en gas -  vastlegging aangegaan op verzoek van de cel openbaar erfgoed in verband met het Frietkot-project";2021-12-16;SIBELGA;4.820,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Animations Commerciale : Travaux : Pose de câbles sur la Place Poelaert pour la cabine HT grande roue;"Cel Commerciële Animatie : Werken : 
Plaatsing kabels op het Poelaertplein voor hoogspanningskast reuzenrad";2021-02-25;SIBELGA;20.985,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Animations Commerciale : Fournitures : Marché public pour la fourniture et l'impressio, de mesh microperforés pour barrières existantes  (CDA/012222/JCV);"Cel Commerciële Animatie : Leveringen : 
Overheidsopdracht voor het leveren en bedrukken van microgeperforeerd doeken voor bestaande hekken (CDA/012222/JCV)";2021-11-23;POP MEDIA BVBA;21.417,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Animations Commerciale : Fournitures :
Marché public pour la fourniture de barrières (CDA/012188/JCV)";Cel Commerciële Animatie : Leveringen : Overheidsopdracht voor de levering van hekken (CDA/012188/JCV);2021-03-11;Mobile Fencing & security;9.680,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Animations Commerciale : Fournitures :
Marché public d'installation de sonomètres avec afficheurs sur des attractions foraines (CDA/011924/LDR)";"Cel Commerciële Animatie : Leveringen :
Overheidsopdracht voor de installatie van
 geluidsniveaumeters met displays op kermisattracties  (CDA/011924/LDR)";2021-10-06;AKRON NV;4.107,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Horodateurs : Services :                        Etude concernant le stationnement de la Ville de Bruxelles. Marché de faible montant par facture acceptée en application de l’article 92 de la loi du 17/06/2016, selon l'offre reçue de l'opérateur économique qui a fourni le logiciel utilisé pour les voitures scan (ACI).;Cel Parkeerautomaten : Diensten :                                                                                                                                                                                                                                                                                                                                        Studie in verband met het parkeren op het grondgebied vand de Stad Brussel. Opdracht van beperkte waarde via aangenomen factuur overeenkomstig artikel 92 van de wet van 17/06/2016, volgens de offerte ontvangen van de onderneming die de software beheert die gebruikt wordt door de scancars (ACI).;2021-08-07;ACI (Abstract Computing International bv);21.764,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Marchés : Services :   
Marché public de services à bordereau de prix ayant pour but la distribution, pendant 24 mois, de divers supports de communication pour différents départements de la Ville de Bruxelles (Cellule Marchés du Département des Affaires Economiques) cahier spécial n° CDA/010883/VHO -  Principe et attribution - Paiement facture - Groupe FOES asbl";"Cel Markten : Diensten :
Overheidsopdracht van diensten met prijsopgave met als doel de verdeling, gedurende 24 maanden, van diverse communicatiedragers voor verschillende departementen van de Stad Brussel (Cel Markten van het Departement Economische Zaken). CDA/010883/VHO - Principe et attributie - Betaling van factuur - Groupe FOES vzw";2021-04-29;Groupe FOES asbl;710,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Marchés : Services :  
Marché public de services à bordereau de prix ayant pour but la distribution, pendant 24 mois, de divers supports de communication pour différents départements de la Ville de Bruxelles (Cellule Marchés du Département des Affaires Economiques) cahier spécial n° CDA/010883/VHO -  Principe et attribution - Paiement facture - Groupe FOES asbl (Flyers stationnement Sablon)";"Cel Markten : Diensten : 
Overheidsopdracht van diensten met prijsopgave met als doel de verdeling, gedurende 24 maanden, van diverse communicatiedragers voor verschillende departementen van de Stad Brussel (Cel Markten van het Departement Economische Zaken). CDA/010883/VHO - Principe et attributie - Betaling van factuur - Groupe FOES vzw (flyers parkeren Zavel)";2021-06-24;Groupe FOES asbl;646,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Marchés : Services :  
Marché public de services ayant pour but le contrôle, pendant 48 mois, du marché bio de la place Sainte-Catherine (CDA/009580/BEN)";"Cel Markten : Diensten :
Overheidsopdracht van diensten met als doel de controle, gedurende 48 maanden, van de bio markt op het Sint-Katelijneplein (CDA/009580/BEN)";2019-02-14;Certisys;1.022,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Marchés : Services :   
Perte de matériel emprunté à la firme Rock The City dans le cadre de la réouverture complète des marchés selon les dispositions de l'arrêté ministériel pour lutter contre la propagation du coronavirus";"Cel Markten : Diensten :
Verlies van materiaal die is geleend van Rock The City in het kader van de volledige heropening van de markten overeenkomstig de bepalingen van het ministerieel besluit ter bestrijding van de verspreiding van het coronavirus";2021-09-16;Rock The City;588,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;Cellule Marchés : Services :                            Animation d'atelier récup sur le marché du 1er octobre 2021 de la Place Agora et sur le marché du 2 décembre 2021 de la Place Sainte Catherine.;"Cel Markten : Diensten :
Animatie recup'workshop op de markt van het Agoraplein van 1 oktober 2021 en op de markt van het Sint-Katlijneplein op 2 december 2021.";2022-01-20;Fais le toi-même;363,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Accueil et Information des commerces : Services :  
HUB session : une conférence (networking session) pour informer les entrepreneurs des aides à leur disposition. - Du matériel de
sonorisation (micro et amplificateurs).";"Cel Onthaal en Informatie van handel : Diensten: 
HUB-sessie: een netwerksessie om ondernemers te informeren over de steun die voor hen beschikbaar is. - Geluidsapparatuur (micro en versterkers).";2021-09-30;Panama Events;1.672,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Cellule Horeca : 
Achat des plots podotactiles/ clous d’arpenteur afin de délimiter les zones de terrasses autorisées sur différents types de revêtement - Accepté par simple facture";"Cel Horeca : 
Aankoop van podotactielpennen / landmeterspijkers 
voor de afbakening van toegestane terraszones op verschillende soorten verharding - Aanvaard met eenvoudige factuur";2022-01-20;VIAKAN;13.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
